Sample type,Count,BOLD database sequence,Data entry Sequence,Box Number,microplate ID,Well ID (for Jessica),Plate Count,NHS sequence number (BOLD Sample ID),spp,sequence,Label year,Date,Harvest Year,Age trait bee,Age Bee,Sex,KILLPROV,Lat DD,LongDD,Central Rectrix Length, Central Rectrix  Quill Dia , Central Moult code ,Longest Rectrix Length,Longest Rectrix Quill Dia ,Longest Moult code,Most lateral Rectrix Length,Most lateral Rectrix Quill Dia,Most Lateral Moult code,"Comment (e.g., missing feather)",Jim ID#,Jim Date,Jim Age,Jim Species,Jim Skull length (mm),Jim 2nd measurement,Jim CR length (entered at NWRC),Jim CR QD (entered at NWRC),Jim notes,Difference between NWRC and Jim measurement,Inferred Species Identification (BOLD ID engine),BOLD Processid,rechecked?,
NHS re- barcoded from previous year,1,1130,1124,CAGO Barcode Samples Box 4,CCDB-24260,F06,66,172211785 2003,1722,11785,2003,23-Sep-06,2006,,Adult,Unknown,Saskatchewan,51.68333333,-104.9166667,,,,,,,,,,,,,,,,,,,,,Branta canadensis,GOOSE1130-16,,
NHS re- barcoded from previous year,1,1131,1125,CAGO Barcode Samples Box 4,CCDB-24260,F07,67,172211788 2003,1722,11788,2003,28-Oct-06,2006,,Adult,Unknown,Saskatchewan,52.03333333,-106.5166667,,,,,,,,,,,,,,,,,,,,,Branta hutchinsii,GOOSE1131-16,,
NHS re- barcoded from previous year,1,1129,1123,CAGO Barcode Samples Box 4,CCDB-24260,F05,65,172211798 2003,1722,11798,2003,18-Sep-06,2006,,Adult,Unknown,Saskatchewan,52.71666667,-106.6166667,,,,,,,,,,,,,,,,,,,,,Branta hutchinsii,GOOSE1129-16,,
NHS re- barcoded from previous year,1,1128,1122,CAGO Barcode Samples Box 4,CCDB-24260,F04,64,172120013 2005,1721,20013,2005,16-Sep-06,2006,,Adult,Unknown,Saskatchewan,52.58333333,-106.6166667,,,,,,,,,,,,,,,,,,,,,Branta hutchinsii,GOOSE1128-16,,
NHS re- barcoded from previous year,1,1121,1115,CAGO Barcode Samples Box 3,CCDB-24260,E09,57,172120020 2006,1721,20020,2006,22-Sep-06,2006,,Adult,Unknown,Manitoba,49.21666667,-100.4166667,,,,,,,,,,,,,,,,,,,,,Branta hutchinsii,GOOSE1121-16,,
NHS re- barcoded from previous year,1,1120,1114,CAGO Barcode Samples Box 3,CCDB-24260,E08,56,172120033 2006,1721,20033,2006,21-Sep-05,2005,,Adult,Unknown,Manitoba,50.08333333,-98.13333333,,,,,,,,,,,,,,,,,,,,,Branta hutchinsii,GOOSE1120-16,,
NHS re- barcoded from previous year,1,1144,1138,CAGO Barcode Samples Box 6,CCDB-24260,G08,80, 172220066 2005 ,1722,20066,2005,04-Nov-06,2006,,Adult,Unknown,Alberta,50.96666667,-113.9666667,,,,,,,,,,,,,,,,,,,,,Branta canadensis,GOOSE1144-16,,
NHS re- barcoded from previous year,1,1139,1133,CAGO Barcode Samples Box 6,CCDB-24260,G03,75, 172120129 2005 ,1721,20129,2005,15-Oct-05,2005,,Adult,Unknown,Alberta,54.85,-113.2833333,,,,,,,,,,,,,,,,,,,,,Branta canadensis,GOOSE1139-16,,
NHS re- barcoded from previous year,1,1143,1137,CAGO Barcode Samples Box 6,CCDB-24260,G07,79, 172120149 2005 ,1721,20149,2005,19-Sep-06,2006,,Adult,Unknown,Alberta,52.9,-112.6666667,,,,,,,,,,,,,,,,,,,,,Branta hutchinsii,GOOSE1143-16,,
NHS re- barcoded from previous year,1,1146,1140,CAGO Barcode Samples Box 7,CCDB-24260,G10,82, 172120196 2006 ,1721,20196,2006,26-Sep-06,2006,,Adult,Unknown,Alberta,56.95,-117.5666667,,,,,,,,,,,,,,,,,,,,,Branta canadensis,GOOSE1146-16,,
NHS re- barcoded from previous year,1,1145,1139,CAGO Barcode Samples Box 7,CCDB-24260,G09,81, 172120198 2006 ,1721,20198,2006, ,2006,,Adult,Unknown,Alberta,54.18333333,-110.9666667,,,,,,,,,,,,,,,,,,,,,Branta hutchinsii,GOOSE1145-16,,
NHS re- barcoded from previous year,1,1127,1121,CAGO Barcode Samples Box 4,CCDB-24260,F03,63,172220225 2005,1722,20225,2005,09-Sep-06,2006,,Adult,Unknown,Saskatchewan,53.05,-105.55,,,,,,,,,,,,,,,,,,,,,Branta canadensis,GOOSE1127-16,,
NHS re- barcoded from previous year,1,1132,1126,CAGO Barcode Samples Box 4,CCDB-24260,F08,68,172220315 2005,1722,20315,2005,23-Sep-06,2006,,Adult,Unknown,Saskatchewan,52.36666667,-109.8833333,,,,,,,,,,,,,,,,,,,,,Branta hutchinsii,GOOSE1132-16,,
NHS re- barcoded from previous year,1,1137,1131,CAGO Barcode Samples Box 5,CCDB-24260,G01,73, 172120384 2004 ,1721,20384,2004,16-Nov-05,2005,,Adult,Unknown,Alberta,49.7,-112.15,,,,,,,,,,,,,,,,,,,,,Branta canadensis,GOOSE1137-16,,
NHS re- barcoded from previous year,1,1151,1145,Michel extra,CCDB-24260,H03,87, 172120402 2004 ,1721,20402,2004,10-Oct-05,2005,,Adult,Unknown,Alberta,55.65,-116.9,,,,,,,,,,,,,,,,,,,,,Branta hutchinsii,GOOSE1151-16,,
NHS re- barcoded from previous year,1,1134,1128,CAGO Barcode Samples Box 5,CCDB-24260,F10,70, 172120418 2004 ,1721,20418,2004,24-Sep-05,2005,,Adult,Unknown,Alberta,54.08333333,-114.4666667,,,,,,,,,,,,,,,,,,,,,Branta canadensis,GOOSE1134-16,,
NHS re- barcoded from previous year,1,1147,1141,CAGO Barcode Samples Box 7,CCDB-24260,G11,83, 172120430 2004 ,1721,20430,2004,21-Sep-05,2005,,Adult,Unknown,Alberta,56.91666667,-117.3166667,,,,,,,,,,,,,,,,,,,,,Branta canadensis,GOOSE1147-16,,
NHS re- barcoded from previous year,1,1114,1108,CAGO Barcode Samples Box 2,CCDB-24260,E02,50,172120531 2004,1721,20531,2004, ,2005,,Adult,Unknown,Saskatchewan,51.81666667,-104.0833333,,,,,,,,,,,,,,,,,,,,,Branta hutchinsii,GOOSE1114-16,,
NHS re- barcoded from previous year,1,1116,1110,CAGO Barcode Samples Box 2,CCDB-24260,E04,52,172120581 2004,1721,20581,2004,24-Oct-05,2005,,Adult,Unknown,Saskatchewan,51.91666667,-105.85,,,,,,,,,,,,,,,,,,,,,Branta hutchinsii,GOOSE1116-16,,
NHS re- barcoded from previous year,1,1117,1111,CAGO Barcode Samples Box 2,CCDB-24260,E05,53,172120587 2004,1721,20587,2004,21-Oct-05,2005,,Adult,Unknown,Saskatchewan,51.83333333,-105.2,,,,,,,,,,,,,,,,,,,,,Branta hutchinsii,GOOSE1117-16,,
NHS re- barcoded from previous year,1,1118,1112,CAGO Barcode Samples Box 2,CCDB-24260,E06,54,172120594 2004,1721,20594,2004,14-Oct-05,2005,,Adult,Unknown,Saskatchewan,51.03333333,-102.1166667,,,,,,,,,,,,,,,,,,,,,Branta hutchinsii,GOOSE1118-16,,
NHS re- barcoded from previous year,1,1119,1113,CAGO Barcode Samples Box 2,CCDB-24260,E07,55,172120598 2004,1721,20598,2004,21-Sep-05,2005,,Adult,Unknown,Saskatchewan,53.41666667,-105.4,,,,,,,,,,,,,,,,,,,,,Branta canadensis,GOOSE1119-16,,
NHS re- barcoded from previous year,1,1125,1119,CAGO Barcode Samples Box 3,CCDB-24260,F01,61,172220623 2005,1722,20623,2005,20-Oct-06,2006,,Adult,Unknown,Manitoba,49.93333333,-96.93333333,,,,,,,,,,,,,,,,,,,,,Branta canadensis,GOOSE1125-16,,
NHS re- barcoded from previous year,1,1141,1135,CAGO Barcode Samples Box 6,CCDB-24260,G05,77, 172120708 2004 ,1721,20708,2004,25-Sep-06,2006,,Adult,Unknown,Alberta,56.06666667,-117.8833333,,,,,,,,,,,,,,,,,,,,,Branta canadensis,GOOSE1141-16,,
