Sequence,box,study year,harvest year,ID seq number,prov sale,prov kill,age,changed,sample type,barcode ID,dateshot,latitude,longitude,key,Central Rectrix Length,Central Rectrix Unfeathered Quill  Length,Central Rectrix  Quill Dia,Longest Rectrix Length,Longest Rectrix Unfeathered Quill  Length,Longest Rectrix Quill Dia ,Most lateral Rectrix Length,Most lateral Rectrix Unfeathered Quill Length,Most lateral Rectrix Quill Dia,Comment,race measurements,key step for call,race tail,race tree,agree key and dna,race label,difference between checker and RM,
,,,2003,172011245 2003,BC,BC,A,,Assumed CAGO,,1028,5300,12320,,,,,,,,,,,,,,,,,,,
,,,2003,172011403 2003,BC,BC,A,,Assumed CAGO,,917,4915,12420,,,,,,,,,,,,,,,,,,,
,,,2003,172011630 2003,BC,BC,A,,Assumed CAGO,,911,4910,12308,,,,,,,,,,,,,,,,,,,
,,,2003,172011676 2003,BC,BC,A,,Assumed CAGO,,911,4910,12308,,,,,,,,,,,,,,,,,,,
,,,2003,172011870 2003,BC,BC,A,,Assumed CAGO,,916,4915,12420,,,,,,,,,,,,,,,,,,,
,,,2005,172120046 2005,MB,MB,A,,Assumed CAGO,,1017,5003,10010,,,,,,,,,,,,,,,,,,,
,,,2005,172120050 2005,MB,MB,A,,Assumed CAGO,,924,5342,10124,,,,,,,,,,,,,,,,,,,
,,,2006,172010067 2002,AB,AB,A,,Assumed CAGO,,912,5824,11552,,,,,,,,,,,,,,,,,,,
,,,2006,172020058 2006,ON,AB,A,,Assumed CAGO,,1018,5233,11151,,,,,,,,,,,,,,,,,,,
,,,2005,172020171 2005,AB,AB,A,,Assumed CAGO,,1021,5338,11151,,,,,,,,,,,,,,,,,,,
,,,2005,172020173 2005,AB,AB,A,,Assumed CAGO,,1022,5338,11151,,,,,,,,,,,,,,,,,,,
,,,2006,172020181 2006,ON,SK,A,,Assumed CAGO,,1005,5239,10533,,,,,,,,,,,,,,,,,,,
,,,2006,172020366 2006,ON,MB,A,,Assumed CAGO,,919,5006,9719,,,,,,,,,,,,,,,,,,,
,,,2006,172020410 2006,MB,MB,A,,Assumed CAGO,,923,5018,10012,,,,,,,,,,,,,,,,,,,
,,,2006,172020419 2006,ON,SK,A,,Assumed CAGO,,826,5155,10329,,,,,,,,,,,,,,,,,,,
,,,2005,172020456 2005,ON,SK,A,,Assumed CAGO,,1015,5146,10527,,,,,,,,,,,,,,,,,,,
,,,2005,172020460 2005,ON,SK,A,,Assumed CAGO,,1018,5146,10527,,,,,,,,,,,,,,,,,,,
,,,2005,172020478 2005,ON,MB,A,,Assumed CAGO,,923,4936,9708,,,,,,,,,,,,,,,,,,,
,,,2005,172020502 2005,ON,MB,A,,Assumed CAGO,,924,4936,9708,,,,,,,,,,,,,,,,,,,
,,,2005,172020504 2005,ON,MB,A,,Assumed CAGO,,924,4936,9708,,,,,,,,,,,,,,,,,,,
,,,2005,172020518 2005,ON,MB,A,,Assumed CAGO,,923,4936,9708,,,,,,,,,,,,,,,,,,,
,,,2005,172020539 2005,ON,MB,A,,Assumed CAGO,,924,5012,9712,,,,,,,,,,,,,,,,,,,
,,,2005,172020541 2005,ON,MB,A,,Assumed CAGO,,924,5012,9712,,,,,,,,,,,,,,,,,,,
,,,2005,172020543 2005,ON,MB,A,,Assumed CAGO,,923,5012,9712,,,,,,,,,,,,,,,,,,,
,,,2005,172020545 2005,ON,MB,A,,Assumed CAGO,,923,5012,9712,,,,,,,,,,,,,,,,,,,
,,,2005,172020547 2005,ON,MB,A,,Assumed CAGO,,923,5012,9712,,,,,,,,,,,,,,,,,,,
,,,2005,172020549 2005,ON,MB,A,,Assumed CAGO,,923,5012,9712,,,,,,,,,,,,,,,,,,,
,,,2005,172020551 2005,ON,MB,A,,Assumed CAGO,,923,5012,9712,,,,,,,,,,,,,,,,,,,
,,,2005,172020584 2005,MB,MB,A,,Assumed CAGO,,1010,,,,,,,,,,,,,,,,,,,,,
,,,2005,172020588 2005,MB,MB,A,,Assumed CAGO,,1009,,,,,,,,,,,,,,,,,,,,,
,,,2005,172020590 2005,MB,MB,A,,Assumed CAGO,,1010,,,,,,,,,,,,,,,,,,,,,
,,,2005,172020592 2005,MB,MB,A,,Assumed CAGO,,1009,,,,,,,,,,,,,,,,,,,,,
,,,2005,172020596 2005,MB,MB,A,,Assumed CAGO,,1010,,,,,,,,,,,,,,,,,,,,,
,,,2006,172020596 2006,ON,SK,A,,Assumed CAGO,,1016,5153,10527,,,,,,,,,,,,,,,,,,,
,,,2005,172020598 2005,MB,MB,A,,Assumed CAGO,,1008,4958,9944,,,,,,,,,,,,,,,,,,,
,,,2006,172020598 2006,ON,SK,A,,Assumed CAGO,,1016,5153,10527,,,,,,,,,,,,,,,,,,,
,,,2006,172020600 2006,ON,SK,A,,Assumed CAGO,,1016,5153,10527,,,,,,,,,,,,,,,,,,,
,,,2006,172020623 2006,ON,MB,A,,Assumed CAGO,,919,5006,9719,,,,,,,,,,,,,,,,,,,
