"FID_","ID_seq_num","prov_sale","prov_kill","lat","long_","race_tail","race_tree","bcr"
,"172011245 2003","BC","BC",53.000000,-123.333333," "," ","WRockies"
,"172011403 2003","BC","BC",49.250000,-124.333333," "," ","WRockies"
,"172011630 2003","BC","BC",49.166666,-123.133333," "," ","WRockies"
,"172011676 2003","BC","BC",49.166666,-123.133333," "," ","WRockies"
,"172011870 2003","BC","BC",49.250000,-124.333333," "," ","WRockies"
,"172120046 2005","MB","MB",50.050000,-100.166666," "," ","ERockies"
,"172120050 2005","MB","MB",53.700000,-101.400000," "," ","ERockies"
,"172010067 2002","AB","AB",58.400000,-115.866666," "," ","ERockies"
,"172020058 2006","ON","AB",52.550000,-111.850000," "," ","ERockies"
,"172020171 2005","AB","AB",53.633333,-111.850000," "," ","ERockies"
,"172020173 2005","AB","AB",53.633333,-111.850000," "," ","ERockies"
,"172020181 2006","ON","SK",52.650000,-105.550000," "," ","ERockies"
,"172020366 2006","ON","MB",50.100000,-97.316666," "," ","ERockies"
,"172020410 2006","MB","MB",50.300000,-100.200000," "," ","ERockies"
,"172020419 2006","ON","SK",51.916666,-103.483333," "," ","ERockies"
,"172020456 2005","ON","SK",51.766666,-105.450000," "," ","ERockies"
,"172020460 2005","ON","SK",51.766666,-105.450000," "," ","ERockies"
,"172020478 2005","ON","MB",49.600000,-97.133333," "," ","ERockies"
,"172020502 2005","ON","MB",49.600000,-97.133333," "," ","ERockies"
,"172020504 2005","ON","MB",49.600000,-97.133333," "," ","ERockies"
,"172020518 2005","ON","MB",49.600000,-97.133333," "," ","ERockies"
,"172020539 2005","ON","MB",50.200000,-97.200000," "," ","ERockies"
,"172020541 2005","ON","MB",50.200000,-97.200000," "," ","ERockies"
,"172020543 2005","ON","MB",50.200000,-97.200000," "," ","ERockies"
,"172020545 2005","ON","MB",50.200000,-97.200000," "," ","ERockies"
,"172020547 2005","ON","MB",50.200000,-97.200000," "," ","ERockies"
,"172020549 2005","ON","MB",50.200000,-97.200000," "," ","ERockies"
,"172020551 2005","ON","MB",50.200000,-97.200000," "," ","ERockies"
,"172020584 2005","MB","MB",0.000000,0.000000," "," ","WRockies"
,"172020588 2005","MB","MB",0.000000,0.000000," "," ","WRockies"
,"172020590 2005","MB","MB",0.000000,0.000000," "," ","WRockies"
,"172020592 2005","MB","MB",0.000000,0.000000," "," ","WRockies"
,"172020596 2005","MB","MB",0.000000,0.000000," "," ","WRockies"
,"172020596 2006","ON","SK",51.883333,-105.450000," "," ","ERockies"
,"172020598 2005","MB","MB",49.966666,-99.733333," "," ","ERockies"
,"172020598 2006","ON","SK",51.883333,-105.450000," "," ","ERockies"
,"172020600 2006","ON","SK",51.883333,-105.450000," "," ","ERockies"
,"172020623 2006","ON","MB",50.100000,-97.316666," "," ","ERockies"
,"172020625 2006","ON","MB",50.200000,-97.200000," "," ","ERockies"
,"172020645 2006","MB","MB",50.350000,-100.216666," "," ","ERockies"
,"172020647 2006","MB","MB",50.350000,-100.216666," "," ","ERockies"
,"172020649 2006","MB","MB",50.350000,-100.216666," "," ","ERockies"
,"172020651 2006","MB","MB",50.350000,-100.216666," "," ","ERockies"
,"172020701 2006","ON","SK",51.866666,-103.433333," "," ","ERockies"
,"172020703 2006","ON","SK",51.916666,-103.483333," "," ","ERockies"
,"172020705 2006","ON","SK",51.916666,-103.483333," "," ","ERockies"
,"172020707 2006","ON","SK",51.800000,-103.483333," "," ","ERockies"
,"172020744 2005"," "," ",0.000000,0.000000," "," ","WRockies"
,"172020746 2005"," "," ",0.000000,0.000000," "," ","WRockies"
,"172020819 2005","ON","MB",50.200000,-97.200000," "," ","ERockies"
,"172020889 2006","ON","MB",50.600000,-100.566666," "," ","ERockies"
,"172021005 2006","ON","MB",50.600000,-100.566666," "," ","ERockies"
,"172021007 2006","ON","MB",50.616666,-100.583333," "," ","ERockies"
,"172021009 2006","ON","MB",50.600000,-100.566666," "," ","ERockies"
,"172021011 2006","ON","MB",50.600000,-100.566666," "," ","ERockies"
,"172021013 2006","ON","MB",50.600000,-100.566666," "," ","ERockies"
,"172021015 2006","ON","MB",50.600000,-100.566666," "," ","ERockies"
,"172021031 2006","ON","MB",50.600000,-100.566666," "," ","ERockies"
,"172021033 2006","ON","MB",50.600000,-100.566666," "," ","ERockies"
,"172021042 2006","ON","MB",50.883333,-97.433333," "," ","ERockies"
,"172021052 2006"," "," ",0.000000,0.000000," "," ","WRockies"
,"172021068 2005"," "," ",0.000000,0.000000," "," ","WRockies"
,"172021080 2006","ON","MB",50.883333,-97.550000," "," ","ERockies"
,"172021082 2006","ON","MB",50.883333,-97.550000," "," ","ERockies"
,"172021098 2005","ON","MB",50.200000,-97.200000," "," ","ERockies"
,"172021230 2005","ON","SK",49.883333,-105.583333," "," ","ERockies"
,"172021232 2005","ON","SK",49.883333,-105.583333," "," ","ERockies"
,"172021234 2005","ON","SK",49.883333,-105.583333," "," ","ERockies"
,"172021236 2005","ON","SK",49.883333,-105.583333," "," ","ERockies"
,"172021238 2005","ON","SK",49.883333,-105.583333," "," ","ERockies"
