"model","AIC","cvdelta","p.miss.hutchinsii","p.miss.canadensis","p.miss.hutchinsii.im","p.miss.canadensis.im","p.miss.hutchinsii.ad","p.miss.canadensis.ad","p.miss.hutchinsii.orig","p.miss.canadensis.orig","p.miss.hutchinsii.leafloor","p.miss.canadensis.leafloor"
"prov + crl * age + dhunt * prov",219.077352134432,0.05171603488676,0.128048780487805,0.0528541226215645,0.213333333333333,0.246376811594203,0.0561797752808989,0.0198019801980198,0.0766550522648084,0.458333333333333,0.0925925925925926,0.101796407185629
"prov + lrl * age + dhunt * prov",205.021909975759,0.0458933839638752,0.103658536585366,0.0380549682875264,0.133333333333333,0.144927536231884,0.0786516853932584,0.0198019801980198,0.0731707317073171,0.444444444444444,0.0740740740740741,0.0718562874251497
"prov + crl * age + crd + dhunt * prov",215.326900069057,0.0493905426012185,0.121951219512195,0.0528541226215645,0.186666666666667,0.246376811594203,0.0674157303370786,0.0198019801980198,0.0487804878048781,0.4375,0.087962962962963,0.103792415169661
"prov + lrl * age + lrd + dhunt * prov",204.443007154792,0.0454244482312902,0.103658536585366,0.040169133192389,0.16,0.159420289855072,0.0561797752808989,0.0198019801980198,0.0627177700348432,0.423611111111111,0.0763888888888889,0.0718562874251497
"prov + lrl * age",210.00998653362,0.0466611864705637,0.0853658536585366,0.040169133192389,0.0933333333333333,0.159420289855072,0.0786516853932584,0.0198019801980198,0.0522648083623693,0.458333333333333,0.0509259259259259,0.0738522954091816
"prov + mlrl * age",224.465367645477,0.0497270551908516,0.140243902439024,0.040169133192389,0.133333333333333,0.144927536231884,0.146067415730337,0.0222772277227723,0.0871080139372822,0.458333333333333,0.150462962962963,0.101796407185629
"lrl * age",221.07303671772,0.0508263273276463,0.115853658536585,0.0443974630021142,0.173333333333333,0.188405797101449,0.0674157303370786,0.0198019801980198,0.0487804878048781,0.472222222222222,0.0393518518518519,0.141716566866267
"prov + crl * age",222.990903302004,0.051538249397409,0.121951219512195,0.0486257928118393,0.2,0.217391304347826,0.0561797752808989,0.0198019801980198,0.0557491289198606,0.493055555555556,0.0578703703703704,0.107784431137725
"crl * age",238.027750592068,0.0573187279952035,0.146341463414634,0.0570824524312896,0.213333333333333,0.246376811594203,0.0898876404494382,0.0247524752475248,0.0522648083623693,0.569444444444444,0.0393518518518519,0.179640718562874
"random forest",NA,NA,0.0153846153846154,0.0605187319884726,0.0116279069767442,0.254385964912281,0.018348623853211,0.0224137931034483,0.0174216027874564,0.541666666666667,0.0241545893719807,0.170212765957447
"cart",NA,NA,0.0962566844919786,0.035472972972973,0.0823529411764706,0.1875,0.107843137254902,0.01171875,0.0696864111498258,0.430555555555556,0.0925925925925926,0.0538922155688623
